Year,Conference,Round,Team with home-court (seed),Team with home-court odds,Team w/o home-court (seed),Team w/o home-court odds,Winning Team,Series Score,team
1984,Eastern,Round 1,Philadelphia 76ers (3),,New Jersey Nets (6),,New Jersey Nets,3-2,PHI
1983,,NBA Finals,Philadelphia 76ers (1),,Los Angeles Lakers (1),,Philadelphia 76ers,4-0,PHI
1983,Eastern,Conf Finals,Philadelphia 76ers (1),,Milwaukee Bucks (2),,Philadelphia 76ers,4-1,PHI
1983,Eastern,Conf Semis,Philadelphia 76ers (1),,New York Knicks (5),,Philadelphia 76ers,4-0,PHI
1982,,NBA Finals,Los Angeles Lakers (1),-160.0,Philadelphia 76ers (3),140.0,Los Angeles Lakers,4-2,PHI
1982,Eastern,Conf Finals,Boston Celtics (1),,Philadelphia 76ers (3),,Philadelphia 76ers,4-3,PHI
1982,Eastern,Conf Semis,Philadelphia 76ers (3),,Milwaukee Bucks (2),,Philadelphia 76ers,4-2,PHI
1982,Eastern,Round 1,Philadelphia 76ers (3),,Atlanta Hawks (6),,Philadelphia 76ers,2-0,PHI
1981,Eastern,Conf Finals,Boston Celtics (1),-160.0,Philadelphia 76ers (3),140.0,Boston Celtics,4-3,PHI
1981,Eastern,Conf Semis,Philadelphia 76ers (3),-150.0,Milwaukee Bucks (2),130.0,Philadelphia 76ers,4-3,PHI
1981,Eastern,Round 1,Philadelphia 76ers (3),,Indiana Pacers (6),,Philadelphia 76ers,2-0,PHI
1980,,NBA Finals,Los Angeles Lakers (1),-190.0,Philadelphia 76ers (3),170.0,Los Angeles Lakers,4-2,PHI
1980,Eastern,Conf Finals,Boston Celtics (1),-300.0,Philadelphia 76ers (3),240.0,Philadelphia 76ers,4-1,PHI
1980,Eastern,Conf Semis,Philadelphia 76ers (3),-120.0,Atlanta Hawks (2),100.0,Philadelphia 76ers,4-1,PHI
1980,Eastern,Round 1,Philadelphia 76ers (3),-600.0,Washington Bullets (6),400.0,Philadelphia 76ers,2-0,PHI
1979,Eastern,Conf Semis,San Antonio Spurs (2),,Philadelphia 76ers (3),,San Antonio Spurs,4-3,PHI
1979,Eastern,Round 1,Philadelphia 76ers (3),-400.0,New Jersey Nets (6),300.0,Philadelphia 76ers,2-0,PHI
1978,Eastern,Conf Finals,Philadelphia 76ers (1),,Washington Bullets (3),,Washington Bullets,4-2,PHI
1978,Eastern,Conf Semis,Philadelphia 76ers (1),,New York Knicks (5),,Philadelphia 76ers,4-0,PHI
1977,,NBA Finals,Philadelphia 76ers (1),-160.0,Portland Trail Blazers (3),140.0,Portland Trail Blazers,4-2,PHI
1977,Eastern,Conf Finals,Philadelphia 76ers (1),-220.0,Houston Rockets (2),180.0,Philadelphia 76ers,4-2,PHI
1977,Eastern,Conf Semis,Philadelphia 76ers (1),,Boston Celtics (4),,Philadelphia 76ers,4-3,PHI
1976,Eastern,Round 1,Philadelphia 76ers (4),,Buffalo Braves (5),,Buffalo Braves,2-1,PHI
1971,Eastern,Conf Semis,Baltimore Bullets (2),,Philadelphia 76ers (3),,Baltimore Bullets,4-3,PHI
1970,Eastern,Conf Semis,Milwaukee Bucks (2),,Philadelphia 76ers (4),,Milwaukee Bucks,4-1,PHI
1969,Eastern,Conf Semis,Philadelphia 76ers (2),,Boston Celtics (4),,Boston Celtics,4-1,PHI
1968,Eastern,Conf Finals,Philadelphia 76ers (1),,Boston Celtics (2),,Boston Celtics,4-3,PHI
1968,Eastern,Conf Semis,Philadelphia 76ers (1),,New York Knicks (3),,Philadelphia 76ers,4-2,PHI
2024,Western,Round 1,Minnesota Timberwolves (3),110.0,Phoenix Suns (6),-130.0,Minnesota Timberwolves,4-0,PHX
2023,Western,Conf Semis,Denver Nuggets (1),100.0,Phoenix Suns (4),-120.0,Denver Nuggets,4-2,PHX
2023,Western,Round 1,Phoenix Suns (4),-600.0,Los Angeles Clippers (5),450.0,Phoenix Suns,4-1,PHX
2022,Western,Conf Semis,Phoenix Suns (1),-295.0,Dallas Mavericks (4),240.0,Dallas Mavericks,4-3,PHX
2022,Western,Round 1,Phoenix Suns (1),-1350.0,New Orleans Pelicans (8),750.0,Phoenix Suns,4-2,PHX
2021,,NBA Finals,Phoenix Suns (2),-180.0,Milwaukee Bucks (3),160.0,Milwaukee Bucks,4-2,PHX
2021,Western,Conf Finals,Phoenix Suns (2),-200.0,Los Angeles Clippers (4),170.0,Phoenix Suns,4-2,PHX
2021,Western,Conf Semis,Phoenix Suns (2),-210.0,Denver Nuggets (3),175.0,Phoenix Suns,4-0,PHX
2021,Western,Round 1,Phoenix Suns (2),155.0,Los Angeles Lakers (7),-175.0,Phoenix Suns,4-2,PHX
2010,Western,Conf Finals,Los Angeles Lakers (1),-340.0,Phoenix Suns (3),270.0,Los Angeles Lakers,4-2,PHX
2010,Western,Conf Semis,Phoenix Suns (3),-140.0,San Antonio Spurs (7),120.0,Phoenix Suns,4-0,PHX
2010,Western,Round 1,Phoenix Suns (3),-500.0,Portland Trail Blazers (6),400.0,Phoenix Suns,4-2,PHX
2008,Western,Round 1,San Antonio Spurs (3),-140.0,Phoenix Suns (6),120.0,San Antonio Spurs,4-1,PHX
2007,Western,Conf Semis,Phoenix Suns (2),-150.0,San Antonio Spurs (3),130.0,San Antonio Spurs,4-2,PHX
2007,Western,Round 1,Phoenix Suns (2),-1600.0,Los Angeles Lakers (7),1000.0,Phoenix Suns,4-1,PHX
2006,Western,Conf Finals,Dallas Mavericks (4),-355.0,Phoenix Suns (2),295.0,Dallas Mavericks,4-2,PHX
2006,Western,Conf Semis,Phoenix Suns (2),-205.0,Los Angeles Clippers (6),185.0,Phoenix Suns,4-3,PHX
2006,Western,Round 1,Phoenix Suns (2),-360.0,Los Angeles Lakers (7),300.0,Phoenix Suns,4-3,PHX
2005,Western,Conf Finals,Phoenix Suns (1),140.0,San Antonio Spurs (2),-160.0,San Antonio Spurs,4-1,PHX
2005,Western,Conf Semis,Phoenix Suns (1),-300.0,Dallas Mavericks (4),220.0,Phoenix Suns,4-2,PHX
2005,Western,Round 1,Phoenix Suns (1),-1200.0,Memphis Grizzlies (8),800.0,Phoenix Suns,4-0,PHX
2003,Western,Round 1,San Antonio Spurs (1),-1000.0,Phoenix Suns (8),700.0,San Antonio Spurs,4-2,PHX
2001,Western,Round 1,Sacramento Kings (3),-400.0,Phoenix Suns (6),300.0,Sacramento Kings,3-1,PHX
2000,Western,Conf Semis,Los Angeles Lakers (1),-2200.0,Phoenix Suns (5),1500.0,Los Angeles Lakers,4-1,PHX
2000,Western,Round 1,San Antonio Spurs (4),,Phoenix Suns (5),,Phoenix Suns,3-1,PHX
1999,Western,Round 1,Portland Trail Blazers (2),-500.0,Phoenix Suns (7),350.0,Portland Trail Blazers,3-0,PHX
1998,Western,Round 1,Phoenix Suns (4),-135.0,San Antonio Spurs (5),115.0,San Antonio Spurs,3-1,PHX
1997,Western,Round 1,Seattle SuperSonics (2),-650.0,Phoenix Suns (7),450.0,Seattle SuperSonics,3-2,PHX
1996,Western,Round 1,San Antonio Spurs (2),-500.0,Phoenix Suns (7),350.0,San Antonio Spurs,3-1,PHX
1995,Western,Conf Semis,Phoenix Suns (2),-270.0,Houston Rockets (6),210.0,Houston Rockets,4-3,PHX
1995,Western,Round 1,Phoenix Suns (2),-400.0,Portland Trail Blazers (7),300.0,Phoenix Suns,3-0,PHX
1994,Western,Conf Semis,Houston Rockets (2),-120.0,Phoenix Suns (3),100.0,Houston Rockets,4-3,PHX
1994,Western,Round 1,Phoenix Suns (3),-360.0,Golden State Warriors (6),280.0,Phoenix Suns,3-0,PHX
1993,,NBA Finals,Phoenix Suns (1),190.0,Chicago Bulls (2),-240.0,Chicago Bulls,4-2,PHX
1993,Western,Conf Finals,Phoenix Suns (1),-330.0,Seattle SuperSonics (3),250.0,Phoenix Suns,4-3,PHX
1993,Western,Conf Semis,Phoenix Suns (1),-650.0,San Antonio Spurs (5),450.0,Phoenix Suns,4-2,PHX
1993,Western,Round 1,Phoenix Suns (1),-3000.0,Los Angeles Lakers (8),2000.0,Phoenix Suns,3-2,PHX
1992,Western,Conf Semis,Portland Trail Blazers (1),-500.0,Phoenix Suns (4),350.0,Portland Trail Blazers,4-1,PHX
1992,Western,Round 1,Phoenix Suns (4),-1500.0,San Antonio Spurs (5),1000.0,Phoenix Suns,3-0,PHX
1991,Western,Round 1,Phoenix Suns (4),-360.0,Utah Jazz (5),280.0,Utah Jazz,3-1,PHX
1990,Western,Conf Finals,Portland Trail Blazers (3),100.0,Phoenix Suns (5),-120.0,Portland Trail Blazers,4-2,PHX
1990,Western,Conf Semis,Los Angeles Lakers (1),-700.0,Phoenix Suns (5),500.0,Phoenix Suns,4-1,PHX
1990,Western,Round 1,Utah Jazz (4),-160.0,Phoenix Suns (5),140.0,Phoenix Suns,3-2,PHX
1989,Western,Conf Finals,Los Angeles Lakers (1),-300.0,Phoenix Suns (3),240.0,Los Angeles Lakers,4-0,PHX
1989,Western,Conf Semis,Phoenix Suns (3),-850.0,Golden State Warriors (7),550.0,Phoenix Suns,4-1,PHX
1989,Western,Round 1,Phoenix Suns (3),-1000.0,Denver Nuggets (6),700.0,Phoenix Suns,3-0,PHX
1985,Western,Round 1,Los Angeles Lakers (1),,Phoenix Suns (8),,Los Angeles Lakers,3-0,PHX
1984,Western,Conf Finals,Los Angeles Lakers (1),,Phoenix Suns (6),,Los Angeles Lakers,4-2,PHX
1984,Western,Conf Semis,Utah Jazz (2),,Phoenix Suns (6),,Phoenix Suns,4-2,PHX
1984,Western,Round 1,Portland Trail Blazers (3),,Phoenix Suns (6),,Phoenix Suns,3-2,PHX
1983,Western,Round 1,Phoenix Suns (3),,Denver Nuggets (6),,Denver Nuggets,2-1,PHX
1982,Western,Conf Semis,Los Angeles Lakers (1),,Phoenix Suns (5),,Los Angeles Lakers,4-0,PHX
1982,Western,Round 1,Denver Nuggets (4),,Phoenix Suns (5),,Phoenix Suns,2-1,PHX
1981,Western,Conf Semis,Phoenix Suns (1),-220.0,Kansas City Kings (5),180.0,Kansas City Kings,4-3,PHX
1980,Western,Conf Semis,Los Angeles Lakers (1),-200.0,Phoenix Suns (4),170.0,Los Angeles Lakers,4-1,PHX
1980,Western,Round 1,Phoenix Suns (4),-700.0,Kansas City Kings (5),500.0,Phoenix Suns,2-1,PHX
1979,Western,Conf Finals,Seattle SuperSonics (1),-160.0,Phoenix Suns (3),140.0,Seattle SuperSonics,4-3,PHX
1979,Western,Conf Semis,Phoenix Suns (3),,Kansas City Kings (2),,Phoenix Suns,4-1,PHX
1979,Western,Round 1,Phoenix Suns (3),,Portland Trail Blazers (6),,Phoenix Suns,2-1,PHX
1978,Western,Round 1,Phoenix Suns (3),,Milwaukee Bucks (6),,Milwaukee Bucks,2-0,PHX
1976,,NBA Finals,Boston Celtics (1),-200.0,Phoenix Suns (3),170.0,Boston Celtics,4-2,PHX
1976,Western,Conf Finals,Golden State Warriors (1),,Phoenix Suns (3),,Phoenix Suns,4-3,PHX
1976,Western,Conf Semis,Seattle SuperSonics (2),,Phoenix Suns (3),,Phoenix Suns,4-2,PHX
1970,Western,Conf Semis,Los Angeles Lakers (2),,Phoenix Suns (4),,Los Angeles Lakers,4-3,PHX
2021,Western,Round 1,Denver Nuggets (3),110.0,Portland Trail Blazers (6),-130.0,Denver Nuggets,4-2,POR
2020,Western,Round 1,Los Angeles Lakers (1),-550.0,Portland Trail Blazers (8),425.0,Los Angeles Lakers,4-1,POR
2019,Western,Conf Finals,Golden State Warriors (1),-550.0,Portland Trail Blazers (3),425.0,Golden State Warriors,4-0,POR
2019,Western,Conf Semis,Denver Nuggets (2),-145.0,Portland Trail Blazers (3),125.0,Portland Trail Blazers,4-3,POR
2019,Western,Round 1,Portland Trail Blazers (3),145.0,Oklahoma City Thunder (6),-165.0,Portland Trail Blazers,4-1,POR
2018,Western,Round 1,Portland Trail Blazers (3),-220.0,New Orleans Pelicans (6),180.0,New Orleans Pelicans,4-0,POR
2017,Western,Round 1,Golden State Warriors (1),-7000.0,Portland Trail Blazers (8),3000.0,Golden State Warriors,4-0,POR
2016,Western,Conf Semis,Golden State Warriors (1),-1600.0,Portland Trail Blazers (5),1050.0,Golden State Warriors,4-1,POR
2016,Western,Round 1,Los Angeles Clippers (4),-525.0,Portland Trail Blazers (5),415.0,Portland Trail Blazers,4-2,POR
2015,Western,Round 1,Memphis Grizzlies (5),-225.0,Portland Trail Blazers (4),195.0,Memphis Grizzlies,4-1,POR
2014,Western,Conf Semis,San Antonio Spurs (1),-410.0,Portland Trail Blazers (5),320.0,San Antonio Spurs,4-1,POR
2014,Western,Round 1,Houston Rockets (4),-200.0,Portland Trail Blazers (5),170.0,Portland Trail Blazers,4-2,POR
2011,Western,Round 1,Dallas Mavericks (3),-200.0,Portland Trail Blazers (6),160.0,Dallas Mavericks,4-2,POR
2010,Western,Round 1,Phoenix Suns (3),-500.0,Portland Trail Blazers (6),400.0,Phoenix Suns,4-2,POR
2009,Western,Round 1,Portland Trail Blazers (4),-175.0,Houston Rockets (5),150.0,Houston Rockets,4-2,POR
2003,Western,Round 1,Dallas Mavericks (3),-400.0,Portland Trail Blazers (6),320.0,Dallas Mavericks,4-3,POR
2002,Western,Round 1,Los Angeles Lakers (3),-600.0,Portland Trail Blazers (6),450.0,Los Angeles Lakers,3-0,POR
2001,Western,Round 1,Los Angeles Lakers (2),-400.0,Portland Trail Blazers (7),300.0,Los Angeles Lakers,3-0,POR
2000,Western,Conf Finals,Los Angeles Lakers (1),-340.0,Portland Trail Blazers (3),280.0,Los Angeles Lakers,4-3,POR
2000,Western,Conf Semis,Portland Trail Blazers (3),-240.0,Utah Jazz (2),190.0,Portland Trail Blazers,4-1,POR
2000,Western,Round 1,Portland Trail Blazers (3),-330.0,Minnesota Timberwolves (6),250.0,Portland Trail Blazers,3-1,POR
1999,Western,Conf Finals,San Antonio Spurs (1),-200.0,Portland Trail Blazers (2),170.0,San Antonio Spurs,4-0,POR
1999,Western,Conf Semis,Utah Jazz (3),-125.0,Portland Trail Blazers (2),105.0,Portland Trail Blazers,4-2,POR
1999,Western,Round 1,Portland Trail Blazers (2),-500.0,Phoenix Suns (7),350.0,Portland Trail Blazers,3-0,POR
1998,Western,Round 1,Los Angeles Lakers (3),-550.0,Portland Trail Blazers (6),375.0,Los Angeles Lakers,3-1,POR
1997,Western,Round 1,Los Angeles Lakers (4),-330.0,Portland Trail Blazers (5),250.0,Los Angeles Lakers,3-1,POR
1996,Western,Round 1,Utah Jazz (3),-400.0,Portland Trail Blazers (6),300.0,Utah Jazz,3-2,POR
1995,Western,Round 1,Phoenix Suns (2),-400.0,Portland Trail Blazers (7),300.0,Phoenix Suns,3-0,POR
1994,Western,Round 1,Houston Rockets (2),-270.0,Portland Trail Blazers (7),210.0,Houston Rockets,3-1,POR
1993,Western,Round 1,Portland Trail Blazers (4),-250.0,San Antonio Spurs (5),200.0,San Antonio Spurs,3-1,POR
1992,,NBA Finals,Chicago Bulls (1),-250.0,Portland Trail Blazers (1),200.0,Chicago Bulls,4-2,POR
1992,Western,Conf Finals,Portland Trail Blazers (1),-360.0,Utah Jazz (2),280.0,Portland Trail Blazers,4-2,POR
1992,Western,Conf Semis,Portland Trail Blazers (1),-500.0,Phoenix Suns (4),350.0,Portland Trail Blazers,4-1,POR
1992,Western,Round 1,Portland Trail Blazers (1),-2000.0,Los Angeles Lakers (8),1500.0,Portland Trail Blazers,3-1,POR
1991,Western,Conf Finals,Portland Trail Blazers (1),-190.0,Los Angeles Lakers (3),150.0,Los Angeles Lakers,4-2,POR
1991,Western,Conf Semis,Portland Trail Blazers (1),-650.0,Utah Jazz (5),450.0,Portland Trail Blazers,4-1,POR
1991,Western,Round 1,Portland Trail Blazers (1),-1200.0,Seattle SuperSonics (8),800.0,Portland Trail Blazers,3-2,POR
1990,,NBA Finals,Detroit Pistons (1),-400.0,Portland Trail Blazers (3),300.0,Detroit Pistons,4-1,POR
1990,Western,Conf Finals,Portland Trail Blazers (3),100.0,Phoenix Suns (5),-120.0,Portland Trail Blazers,4-2,POR
1990,Western,Conf Semis,Portland Trail Blazers (3),-200.0,San Antonio Spurs (2),170.0,Portland Trail Blazers,4-3,POR
1990,Western,Round 1,Portland Trail Blazers (3),-600.0,Dallas Mavericks (6),400.0,Portland Trail Blazers,3-0,POR
1989,Western,Round 1,Los Angeles Lakers (1),-2500.0,Portland Trail Blazers (8),2000.0,Los Angeles Lakers,3-0,POR
1988,Western,Round 1,Portland Trail Blazers (4),-250.0,Utah Jazz (5),200.0,Utah Jazz,3-1,POR
1987,Western,Round 1,Portland Trail Blazers (3),,Houston Rockets (6),,Houston Rockets,3-1,POR
1986,Western,Round 1,Denver Nuggets (3),,Portland Trail Blazers (6),,Denver Nuggets,3-1,POR
1985,Western,Conf Semis,Los Angeles Lakers (1),,Portland Trail Blazers (5),,Los Angeles Lakers,4-1,POR
1985,Western,Round 1,Dallas Mavericks (4),,Portland Trail Blazers (5),,Portland Trail Blazers,3-1,POR
1984,Western,Round 1,Portland Trail Blazers (3),,Phoenix Suns (6),,Phoenix Suns,3-2,POR
1983,Western,Conf Semis,Los Angeles Lakers (1),,Portland Trail Blazers (5),,Los Angeles Lakers,4-1,POR
1983,Western,Round 1,Seattle SuperSonics (4),,Portland Trail Blazers (5),,Portland Trail Blazers,2-0,POR
1981,Western,Round 1,Portland Trail Blazers (4),,Kansas City Kings (5),,Kansas City Kings,2-1,POR
1980,Western,Round 1,Seattle SuperSonics (3),-1000.0,Portland Trail Blazers (6),700.0,Seattle SuperSonics,2-1,POR
1979,Western,Round 1,Phoenix Suns (3),,Portland Trail Blazers (6),,Phoenix Suns,2-1,POR
1978,Western,Conf Semis,Portland Trail Blazers (1),,Seattle SuperSonics (4),,Seattle SuperSonics,4-2,POR
1977,,NBA Finals,Philadelphia 76ers (1),-160.0,Portland Trail Blazers (3),140.0,Portland Trail Blazers,4-2,POR
1977,Western,Conf Finals,Los Angeles Lakers (1),,Portland Trail Blazers (3),,Portland Trail Blazers,4-0,POR
1977,Western,Conf Semis,Denver Nuggets (2),,Portland Trail Blazers (3),,Portland Trail Blazers,4-2,POR
1977,Western,Round 1,Portland Trail Blazers (3),,Chicago Bulls (6),,Portland Trail Blazers,2-1,POR
2023,Western,Round 1,Sacramento Kings (3),225.0,Golden State Warriors (6),-265.0,Golden State Warriors,4-3,SAC
2006,Western,Round 1,San Antonio Spurs (1),-1050.0,Sacramento Kings (8),725.0,San Antonio Spurs,4-2,SAC
2005,Western,Round 1,Seattle SuperSonics (3),100.0,Sacramento Kings (6),-120.0,Seattle SuperSonics,4-1,SAC
2004,Western,Conf Semis,Minnesota Timberwolves (1),-220.0,Sacramento Kings (4),170.0,Minnesota Timberwolves,4-3,SAC
2004,Western,Round 1,Sacramento Kings (4),-164.0,Dallas Mavericks (5),148.0,Sacramento Kings,4-1,SAC
2003,Western,Conf Semis,Dallas Mavericks (3),240.0,Sacramento Kings (2),-280.0,Dallas Mavericks,4-3,SAC
2003,Western,Round 1,Sacramento Kings (2),-1400.0,Utah Jazz (7),1000.0,Sacramento Kings,4-1,SAC
2002,Western,Conf Finals,Sacramento Kings (1),190.0,Los Angeles Lakers (3),-230.0,Los Angeles Lakers,4-3,SAC
2002,Western,Conf Semis,Sacramento Kings (1),-155.0,Dallas Mavericks (4),135.0,Sacramento Kings,4-1,SAC
2002,Western,Round 1,Sacramento Kings (1),-2000.0,Utah Jazz (8),1400.0,Sacramento Kings,3-1,SAC
2001,Western,Conf Semis,Los Angeles Lakers (2),-360.0,Sacramento Kings (3),290.0,Los Angeles Lakers,4-0,SAC
2001,Western,Round 1,Sacramento Kings (3),-400.0,Phoenix Suns (6),300.0,Sacramento Kings,3-1,SAC
2000,Western,Round 1,Los Angeles Lakers (1),-2000.0,Sacramento Kings (8),1200.0,Los Angeles Lakers,3-2,SAC
1999,Western,Round 1,Utah Jazz (3),-1000.0,Sacramento Kings (6),700.0,Utah Jazz,3-2,SAC
1996,Western,Round 1,Seattle SuperSonics (1),-2200.0,Sacramento Kings (8),1500.0,Seattle SuperSonics,3-1,SAC
1986,Western,Round 1,Houston Rockets (2),,Sacramento Kings (7),,Houston Rockets,3-0,SAC
1984,Western,Round 1,Los Angeles Lakers (1),,Kansas City Kings (8),,Los Angeles Lakers,3-0,SAC
1981,Western,Conf Finals,Kansas City Kings (5),-140.0,Houston Rockets (6),120.0,Houston Rockets,4-1,SAC
1981,Western,Conf Semis,Phoenix Suns (1),-220.0,Kansas City Kings (5),180.0,Kansas City Kings,4-3,SAC
1981,Western,Round 1,Portland Trail Blazers (4),,Kansas City Kings (5),,Kansas City Kings,2-1,SAC
1980,Western,Round 1,Phoenix Suns (4),-700.0,Kansas City Kings (5),500.0,Phoenix Suns,2-1,SAC
1979,Western,Conf Semis,Phoenix Suns (3),,Kansas City Kings (2),,Phoenix Suns,4-1,SAC
1975,Western,Conf Semis,Chicago Bulls (2),,Kansas City Kings (3),,Chicago Bulls,4-2,SAC
2019,Western,Round 1,Denver Nuggets (2),-270.0,San Antonio Spurs (7),230.0,Denver Nuggets,4-3,SAS
2018,Western,Round 1,Golden State Warriors (2),-900.0,San Antonio Spurs (7),600.0,Golden State Warriors,4-1,SAS
2017,Western,Conf Finals,Golden State Warriors (1),-1050.0,San Antonio Spurs (2),675.0,Golden State Warriors,4-0,SAS
2017,Western,Conf Semis,San Antonio Spurs (2),-300.0,Houston Rockets (3),250.0,San Antonio Spurs,4-2,SAS
2017,Western,Round 1,San Antonio Spurs (2),-1070.0,Memphis Grizzlies (7),685.0,San Antonio Spurs,4-2,SAS
2016,Western,Conf Semis,San Antonio Spurs (2),-270.0,Oklahoma City Thunder (3),230.0,Oklahoma City Thunder,4-2,SAS
2016,Western,Round 1,San Antonio Spurs (2),-17000.0,Memphis Grizzlies (7),6625.0,San Antonio Spurs,4-0,SAS
2015,Western,Round 1,Los Angeles Clippers (3),160.0,San Antonio Spurs (6),-180.0,Los Angeles Clippers,4-3,SAS
2014,,NBA Finals,San Antonio Spurs (1),-155.0,Miami Heat (2),135.0,San Antonio Spurs,4-1,SAS
2014,Western,Conf Finals,San Antonio Spurs (1),-245.0,Oklahoma City Thunder (2),205.0,San Antonio Spurs,4-2,SAS
2014,Western,Conf Semis,San Antonio Spurs (1),-410.0,Portland Trail Blazers (5),320.0,San Antonio Spurs,4-1,SAS
2014,Western,Round 1,San Antonio Spurs (1),-875.0,Dallas Mavericks (8),585.0,San Antonio Spurs,4-3,SAS
2013,,NBA Finals,Miami Heat (1),-220.0,San Antonio Spurs (2),180.0,Miami Heat,4-3,SAS
2013,Western,Conf Finals,San Antonio Spurs (2),-145.0,Memphis Grizzlies (5),125.0,San Antonio Spurs,4-0,SAS
2013,Western,Conf Semis,San Antonio Spurs (2),-950.0,Golden State Warriors (6),625.0,San Antonio Spurs,4-2,SAS
2013,Western,Round 1,San Antonio Spurs (2),-1000.0,Los Angeles Lakers (7),650.0,San Antonio Spurs,4-0,SAS
2012,Western,Conf Finals,San Antonio Spurs (1),-205.0,Oklahoma City Thunder (2),175.0,Oklahoma City Thunder,4-2,SAS
2012,Western,Conf Semis,San Antonio Spurs (1),-2500.0,Los Angeles Clippers (5),1000.0,San Antonio Spurs,4-0,SAS
2012,Western,Round 1,San Antonio Spurs (1),-2500.0,Utah Jazz (8),1450.0,San Antonio Spurs,4-0,SAS
2011,Western,Round 1,San Antonio Spurs (1),-390.0,Memphis Grizzlies (8),280.0,Memphis Grizzlies,4-2,SAS
2010,Western,Conf Semis,Phoenix Suns (3),-140.0,San Antonio Spurs (7),120.0,Phoenix Suns,4-0,SAS
2010,Western,Round 1,Dallas Mavericks (2),-150.0,San Antonio Spurs (7),130.0,San Antonio Spurs,4-2,SAS
2009,Western,Round 1,San Antonio Spurs (3),-190.0,Dallas Mavericks (6),160.0,Dallas Mavericks,4-1,SAS
2008,Western,Conf Finals,Los Angeles Lakers (1),-250.0,San Antonio Spurs (3),210.0,Los Angeles Lakers,4-1,SAS
2008,Western,Conf Semis,New Orleans Hornets (2),115.0,San Antonio Spurs (6),-135.0,San Antonio Spurs,4-3,SAS
2008,Western,Round 1,San Antonio Spurs (3),-140.0,Phoenix Suns (6),120.0,San Antonio Spurs,4-1,SAS
2007,,NBA Finals,San Antonio Spurs (3),-450.0,Cleveland Cavaliers (2),360.0,San Antonio Spurs,4-0,SAS
2007,Western,Conf Finals,San Antonio Spurs (3),-440.0,Utah Jazz (4),350.0,San Antonio Spurs,4-1,SAS
2007,Western,Conf Semis,Phoenix Suns (2),-150.0,San Antonio Spurs (3),130.0,San Antonio Spurs,4-2,SAS
2007,Western,Round 1,San Antonio Spurs (3),-750.0,Denver Nuggets (6),550.0,San Antonio Spurs,4-1,SAS
2006,Western,Conf Semis,San Antonio Spurs (1),-180.0,Dallas Mavericks (4),150.0,Dallas Mavericks,4-3,SAS
2006,Western,Round 1,San Antonio Spurs (1),-1050.0,Sacramento Kings (8),725.0,San Antonio Spurs,4-2,SAS
2005,,NBA Finals,San Antonio Spurs (2),-250.0,Detroit Pistons (2),200.0,San Antonio Spurs,4-3,SAS
2005,Western,Conf Finals,Phoenix Suns (1),140.0,San Antonio Spurs (2),-160.0,San Antonio Spurs,4-1,SAS
2005,Western,Conf Semis,San Antonio Spurs (2),-1200.0,Seattle SuperSonics (3),800.0,San Antonio Spurs,4-2,SAS
2005,Western,Round 1,San Antonio Spurs (2),-500.0,Denver Nuggets (7),400.0,San Antonio Spurs,4-1,SAS
2004,Western,Conf Semis,San Antonio Spurs (3),-140.0,Los Angeles Lakers (2),120.0,Los Angeles Lakers,4-2,SAS
2004,Western,Round 1,San Antonio Spurs (3),-1080.0,Memphis Grizzlies (6),920.0,San Antonio Spurs,4-0,SAS
2003,,NBA Finals,San Antonio Spurs (1),-330.0,New Jersey Nets (2),260.0,San Antonio Spurs,4-2,SAS
2003,Western,Conf Finals,San Antonio Spurs (1),-380.0,Dallas Mavericks (3),320.0,San Antonio Spurs,4-2,SAS
2003,Western,Conf Semis,San Antonio Spurs (1),125.0,Los Angeles Lakers (5),-145.0,San Antonio Spurs,4-2,SAS
2003,Western,Round 1,San Antonio Spurs (1),-1000.0,Phoenix Suns (8),700.0,San Antonio Spurs,4-2,SAS
2002,Western,Conf Semis,Los Angeles Lakers (3),-650.0,San Antonio Spurs (2),450.0,Los Angeles Lakers,4-1,SAS
2002,Western,Round 1,San Antonio Spurs (2),-750.0,Seattle SuperSonics (7),550.0,San Antonio Spurs,3-2,SAS
2001,Western,Conf Finals,San Antonio Spurs (1),125.0,Los Angeles Lakers (2),-145.0,Los Angeles Lakers,4-0,SAS
2001,Western,Conf Semis,San Antonio Spurs (1),-650.0,Dallas Mavericks (5),450.0,San Antonio Spurs,4-1,SAS
2001,Western,Round 1,San Antonio Spurs (1),-900.0,Minnesota Timberwolves (8),600.0,San Antonio Spurs,3-1,SAS
2000,Western,Round 1,San Antonio Spurs (4),,Phoenix Suns (5),,Phoenix Suns,3-1,SAS
1999,,NBA Finals,San Antonio Spurs (1),-900.0,New York Knicks (8),600.0,San Antonio Spurs,4-1,SAS
1999,Western,Conf Finals,San Antonio Spurs (1),-200.0,Portland Trail Blazers (2),170.0,San Antonio Spurs,4-0,SAS
1999,Western,Conf Semis,San Antonio Spurs (1),-220.0,Los Angeles Lakers (4),180.0,San Antonio Spurs,4-0,SAS
1999,Western,Round 1,San Antonio Spurs (1),-1500.0,Minnesota Timberwolves (8),1000.0,San Antonio Spurs,3-1,SAS
1998,Western,Conf Semis,Utah Jazz (1),-270.0,San Antonio Spurs (5),210.0,Utah Jazz,4-1,SAS
1998,Western,Round 1,Phoenix Suns (4),-135.0,San Antonio Spurs (5),115.0,San Antonio Spurs,3-1,SAS
